feasible,onboard_count,lat,lon,pickup_1_lat,pickup_1_lon,pickup_1_maxtime,dropoff_1_lat,dropoff_1_lon,dropoff_1_maxtime,pickup_2_lat,pickup_2_lon,pickup_2_maxtime,dropoff_2_lat,dropoff_2_lon,dropoff_2_maxtime,pickup_3_lat,pickup_3_lon,pickup_3_maxtime,dropoff_3_lat,dropoff_3_lon,dropoff_3_maxtime
true,0,50027242,14493074,50026414,14492197,229,50075414,14433372,1221,50026414,14492197,229,50089834,14425895,1453,50026414,14492197,229,50042659,14448888,746
true,0,50027242,14493074,50026414,14492197,229,50075414,14433372,1221,50026414,14492197,229,50089834,14425895,1453,50026994,14499856,231,50084796,14419926,1470
true,0,50027242,14493074,50026414,14492197,229,50075414,14433372,1221,50026414,14492197,229,50089638,14432454,1414,50026414,14492197,229,50042659,14448888,746
false,0,50027242,14493074,50026414,14492197,229,50075414,14433372,1221,50026414,14492197,229,50089638,14432454,1414,50026994,14499856,231,50084796,14419926,1470
true,0,50027242,14493074,50026414,14492197,229,50075414,14433372,1221,50026414,14492197,229,50042659,14448888,746,50026994,14499856,231,50084796,14419926,1470
true,0,50027242,14493074,50026414,14492197,229,50089834,14425895,1453,50026414,14492197,229,50089638,14432454,1414,50026414,14492197,229,50042659,14448888,746
false,0,50027242,14493074,50026414,14492197,229,50089834,14425895,1453,50026414,14492197,229,50089638,14432454,1414,50026994,14499856,231,50084796,14419926,1470
false,0,50027242,14493074,50026414,14492197,229,50089834,14425895,1453,50026414,14492197,229,50042659,14448888,746,50026994,14499856,231,50084796,14419926,1470
false,0,50027242,14493074,50026414,14492197,229,50089638,14432454,1414,50026414,14492197,229,50042659,14448888,746,50026994,14499856,231,50084796,14419926,1470
true,0,50055195,14443240,50057246,14443007,204,50087872,14416576,765,50061491,14446474,206,50109563,14404325,1090,50064042,14441428,211,50062940,14442738,233
false,0,50055195,14443240,50057246,14443007,204,50087872,14416576,765,50061491,14446474,206,50109563,14404325,1090,50055682,14446580,237,50097027,14425786,933
true,0,50055195,14443240,50057246,14443007,204,50087872,14416576,765,50064042,14441428,211,50062940,14442738,233,50055682,14446580,237,50097027,14425786,933
true,0,50055195,14443240,50061491,14446474,206,50109563,14404325,1090,50064042,14441428,211,50062940,14442738,233,50055682,14446580,237,50097027,14425786,933
false,0,50055195,14443240,50064042,14441428,211,50062940,14442738,233,50060971,14447828,218,50102033,14432973,893,50055682,14446580,237,50097027,14425786,933
true,0,50055195,14443240,50055363,14432293,214,50087340,14398044,836,50052582,14440586,217,50103264,14390690,1178,50058946,14432626,237,50073147,14403828,611
false,0,50050039,14440976,50048769,14442804,192,50100262,14387797,1193,50052522,14428694,195,50080689,14424145,648,50052582,14440586,217,50103264,14390690,1178
true,0,50050039,14440976,50048769,14442804,192,50100262,14387797,1193,50057246,14443007,204,50087872,14416576,765,50052582,14440586,217,50103264,14390690,1178
true,0,50050039,14440976,50048769,14442804,192,50100262,14387797,1193,50055363,14432293,214,50087340,14398044,836,50052582,14440586,217,50103264,14390690,1178
false,0,50050039,14440976,50048769,14442804,192,50100262,14387797,1193,50055363,14432293,214,50087340,14398044,836,50058946,14432626,237,50073147,14403828,611
true,0,50050039,14440976,50048769,14442804,192,50100262,14387797,1193,50052582,14440586,217,50103264,14390690,1178,50058946,14432626,237,50073147,14403828,611
true,0,50050039,14440976,50055363,14432293,214,50087340,14398044,836,50052582,14440586,217,50103264,14390690,1178,50058946,14432626,237,50073147,14403828,611
false,0,50050039,14440976,50048769,14442804,192,50100262,14387797,1193,50052522,14428694,195,50080689,14424145,648,50052582,14440586,217,50103264,14390690,1178
true,0,50050039,14440976,50048769,14442804,192,50100262,14387797,1193,50057246,14443007,204,50087872,14416576,765,50052582,14440586,217,50103264,14390690,1178
true,0,50050039,14440976,50048769,14442804,192,50100262,14387797,1193,50055363,14432293,214,50087340,14398044,836,50052582,14440586,217,50103264,14390690,1178
false,0,50050039,14440976,50048769,14442804,192,50100262,14387797,1193,50055363,14432293,214,50087340,14398044,836,50058946,14432626,237,50073147,14403828,611
true,0,50050039,14440976,50048769,14442804,192,50100262,14387797,1193,50052582,14440586,217,50103264,14390690,1178,50058946,14432626,237,50073147,14403828,611
true,0,50050039,14440976,50055363,14432293,214,50087340,14398044,836,50052582,14440586,217,50103264,14390690,1178,50058946,14432626,237,50073147,14403828,611
true,0,50053890,14437444,50055363,14432293,214,50087340,14398044,836,50052582,14440586,217,50103264,14390690,1178,50058946,14432626,237,50073147,14403828,611
true,0,50055195,14443240,50057246,14443007,204,50087872,14416576,765,50061491,14446474,206,50109563,14404325,1090,50064042,14441428,211,50062940,14442738,233
